,Country,Total_mT_2010,Total_mT_2019,PerHead_kg_2010,PerHead_kg_2019,rise_total,rise_PerHead
129,Saint Lucia,6709,4276,0.113,23.36612022,-2433,23.25312022
130,Lithuania,3479,1037,0.021,0.375724638,-2442,0.354724638
131,Barbados,3483,872,0.034,3.038327526,-2611,3.004327526
132,Kiribati,3045,74,0.088,0.627118644,-2971,0.539118644
133,Sao Tome and Principe,5081,2069,0.085,9.623255814,-3012,9.538255814
134,Marshall Islands,3187,16,0.15,0.271186441,-3171,0.121186441
135,Bahrain,4376,1043,0.016,0.635588056,-3333,0.619588056
136,Samoa,5122,1738,0.084,8.822335025,-3384,8.738335025
137,Oman,4658,1251,0.005,0.251457286,-3407,0.246457286
138,Palestine,5599,2129,0.005,0.427424212,-3470,0.422424212
139,Singapore,6472,2468,0.004,0.425223983,-4004,0.421223983
140,Micronesia,4794,447,0.085,0.0,-4347,-0.085
141,Montenegro,4416,16,0.046,0.025477707,-4400,-0.020522293
142,Seychelles,4619,33,0.139,0.336734694,-4586,0.197734694
143,Estonia,5979,600,0.019,0.452488688,-5379,0.43348868799999996
144,Cape Verde,9347,3568,0.049,6.487272727,-5779,6.438272726999999
145,Tonga,6624,666,0.176,6.403846154,-5958,6.227846154
146,Guadeloupe,6564,162,0.039,0.405,-6402,0.36600000000000005
147,Colombia,92173,85454,0.034,1.697570472,-6719,1.663570472
148,Norway,8403,1494,0.006,0.277746793,-6909,0.271746793
149,Djibouti,17324,10289,0.076,10.56365503,-7035,10.487655029999999
150,New Zealand,9286,1714,0.007,0.358352498,-7572,0.351352498
151,United States,275424,267469,0.007,0.812815117,-7955,0.805815117
152,Australia,13889,5266,0.002,0.20894338,-8623,0.20694338
153,Kuwait,11489,2640,0.014,0.627525553,-8849,0.613525553
154,Ireland,11710,2675,0.009,0.547931176,-9035,0.538931176
155,Madagascar,34522,25250,0.013,0.936260151,-9272,0.923260151
156,Latvia,10284,955,0.02,0.500786576,-9329,0.48078657599999997
157,Greece,14229,4506,0.004,0.430249212,-9723,0.426249212
158,Netherlands,27700,15233,0.008,0.890975025,-12467,0.882975025
159,Portugal,16402,3818,0.005,0.373362018,-12584,0.368362018
160,Israel,19007,6060,0.008,0.711351098,-12947,0.703351098
161,Saudi Arabia,20552,7176,0.016,0.209402084,-13376,0.19340208399999997
162,Georgia,14472,307,0.035,0.076807606,-14165,0.041807606
163,Guyana,42002,27565,0.224,35.20434227,-14437,34.98034227
164,Morocco,310126,295488,0.049,8.101776705,-14638,8.052776705000001
165,Puerto Rico,16517,1293,0.011,0.440845551,-15224,0.429845551
166,Bulgaria,18739,3117,0.051,0.445285714,-15622,0.394285714
167,Croatia,16461,0,0.028,4.247941889,-16461,4.219941889
168,Liberia,56728,39930,0.072,8.087907636,-16798,8.015907636000001
169,Solomon Islands,20394,3520,0.09,5.253731343,-16874,5.163731343
170,Trinidad and Tobago,94066,73139,0.19,52.42939068,-20927,52.23939068
171,South Korea,33747,12156,0.001,0.237306003,-21591,0.236306003
172,Vanuatu,22478,0,0.245,0.0,-22478,-0.245
173,Hong Kong,28512,5781,0.01,0.777434104,-22731,0.767434104
174,Myanmar,458269,434432,0.066,8.038338422,-23837,7.972338422000001
175,Spain,45853,20350,0.006,0.435415196,-25503,0.429415196
176,Maldives,31469,60,0.22,0.11299435,-31409,-0.10700565000000001
177,United Kingdom,67549,29914,0.004,0.442973493,-37635,0.438973493
178,Taiwan,45718,7502,0.006,0.315554808,-38216,0.309554808
179,Fiji,49257,3858,0.151,4.334831461,-45399,4.1838314610000005
180,Peru,194453,140313,0.039,4.315995078,-54140,4.276995078000001
181,Mauritius,56051,299,0.122,0.235433071,-55752,0.113433071
182,Cuba,90630,0,0.022,0.0,-90630,-0.022
183,El Salvador,118732,21693,0.051,3.361171367,-97039,3.3101713669999997
184,Somalia,101531,42,0.047,0.002719679,-101489,-0.044280321
185,Japan,143121,35684,0.003,0.281286458,-107437,0.278286458
186,Malaysia,936818,814454,0.112,25.491518,-122364,25.379518
187,Syria,157904,502,0.119,0.029408319,-157402,-0.08959168099999999
188,Cote d'Ivoire,194558,17544,0.086,11.33934751,-177014,11.25334751
189,Senegal,254770,65660,0.086,4.029209622,-189110,3.943209622
190,North Korea,304328,322,0.048,0.01254578,-304006,-0.03545422
191,Vietnam,1833819,1112790,0.09,11.53604528,-721029,11.44604528
192,Sri Lanka,1591179,155466,0.299,7.290658413,-1435713,6.991658413
193,Indonesia,3216856,824234,0.047,3.045657286,-2392622,2.998657286
